TIME,,CH1,,CH2,,CH3,,CH4,
-7.97E-09,-7970,-0.0034375,-3437.5,4.150625,4150625,2.815,2815000,4.518125,4518125.000000000000
-7.89E-09,-7890,-0.0015625,-1562.5,4.1528125,4152812.5,3.3721875,3372187.5,4.1634375,4163437.500000000000
-7.81E-09,-7810,0.0178125,17812.5,4.0728125,4072812.5,3.8615625,3861562.5,3.6884375,3688437.500000000000
-7.73E-09,-7730,0.0378125,37812.5,3.8453125,3845312.5,4.2615625,4261562.5,3.120625,3120625.000000000000
-7.65E-09,-7650,0.0603125,60312.5,3.4303125,3430312.5,4.5640625,4564062.5,2.4678125,2467812.500000000000
-7.57E-09,-7570,0.066875,66875,2.81,2810000,4.7696875,4769687.5,1.79,1790000.000000000000
-7.49E-09,-7490,0.06,60000,2.014375,2014375,4.89125,4891250,1.12625,1126250.000000000000
-7.41E-09,-7410,0.0278125,27812.5,1.1015625,1101562.5,4.953125,4953125,0.5475,547500.000000000000
-7.33E-09,-7330,-0.0134375,-13437.5,0.1771875,177187.5,4.98375,4983750,0.0821875,82187.500000000000
-7.25E-09,-7250,-0.0615625,-61562.5,-0.643125,-643125,5.008125,5008125,-0.225,-225000.000000000000
-7.17E-09,-7170,-0.093125,-93125,-1.24125,-1241250,5.0453125,5045312.5,-0.3809375,-380937.500000000000
-7.09E-09,-7090,-0.106875,-106875,-1.5453125,-1545312.5,5.1075,5107500,-0.3875,-387500.000000000000
-7.01E-09,-7010,-0.0846875,-84687.5,-1.525,-1525000,5.1959375,5195937.5,-0.3009375,-300937.500000000000
-6.93E-09,-6930,-0.0378125,-37812.5,-1.2184375,-1218437.5,5.29875,5298750,-0.155,-155000.000000000000
-6.85E-09,-6850,0.033125,33125,-0.71125,-711250,5.3978125,5397812.5,-0.014375,-14375.000000000000
-6.77E-09,-6770,0.099375,99375,-0.1396875,-139687.5,5.473125,5473125,0.09625,96250.000000000000
-6.69E-09,-6690,0.1534375,153437.5,0.3628125,362812.5,5.5090625,5509062.5,0.13375,133750.000000000000
-6.61E-09,-6610,0.1709375,170937.5,0.6825,682500,5.49125,5491250,0.1115625,111562.500000000000
-6.53E-09,-6530,0.154375,154375,0.759375,759375,5.41875,5418750,0.0309375,30937.500000000000
-6.45E-09,-6450,0.0965625,96562.5,0.5878125,587812.5,5.29875,5298750,-0.0621875,-62187.500000000000
-6.37E-09,-6370,0.023125,23125,0.2296875,229687.5,5.1515625,5151562.5,-0.1540625,-154062.500000000000
-6.29E-09,-6290,-0.0546875,-54687.5,-0.2115625,-211562.5,4.9959375,4995937.5,-0.2,-200000.000000000000
-6.21E-09,-6210,-0.1065625,-106562.5,-0.615,-615000,4.8565625,4856562.5,-0.199375,-199375.000000000000
-6.13E-09,-6130,-0.1278125,-127812.5,-0.8821875,-882187.5,4.7496875,4749687.5,-0.13375,-133750.000000000000
-6.05E-09,-6050,-0.1021875,-102187.5,-0.951875,-951875,4.689375,4689375,-0.0384375,-38437.500000000000
-5.97E-09,-5970,-0.0446875,-44687.5,-0.81625,-816250,4.6709375,4670937.5,0.08125,81250.000000000000
-5.89E-09,-5890,0.0378125,37812.5,-0.5215625,-521562.5,4.688125,4688125,0.181875,181875.000000000000
-5.81E-09,-5810,0.11375,113750,-0.15625,-156250,4.720625,4720625,0.2609375,260937.500000000000
-5.73E-09,-5730,0.1740625,174062.5,0.179375,179375,4.7546875,4754687.5,0.285,285000.000000000000
-5.65E-09,-5650,0.1965625,196562.5,0.40375,403750,4.7675,4767500,0.2746875,274687.500000000000
-5.57E-09,-5570,0.1878125,187812.5,0.466875,466875,4.7521875,4752187.5,0.224375,224375.000000000000
-5.49E-09,-5490,0.1446875,144687.5,0.3640625,364062.5,4.7046875,4704687.5,0.17375,173750.000000000000
-5.41E-09,-5410,0.09375,93750,0.1359375,135937.5,4.640625,4640625,0.1228125,122812.500000000000
-5.33E-09,-5330,0.04375,43750,-0.1421875,-142187.5,4.5690625,4569062.5,0.108125,108125.000000000000
-5.25E-09,-5250,0.01875,18750,-0.3909375,-390937.5,4.515,4515000,0.1196875,119687.500000000000
-5.17E-09,-5170,0.015,15000,-0.5440625,-544062.5,4.493125,4493125,0.175625,175625.000000000000
-5.09E-09,-5090,0.04125,41250,-0.56875,-568750,4.5196875,4519687.5,0.2425,242500.000000000000
-5.01E-09,-5010,0.0775,77500,-0.465625,-465625,4.5884375,4588437.5,0.32375,323750.000000000000
-4.93E-09,-4930,0.1178125,117812.5,-0.278125,-278125,4.69375,4693750,0.383125,383125.000000000000
-4.85E-09,-4850,0.13625,136250,-0.0665625,-66562.5,4.8121875,4812187.5,0.428125,428125.000000000000
-4.77E-09,-4770,0.1346875,134687.5,0.0971875,97187.5,4.92625,4926250,0.429375,429375.000000000000
-4.69E-09,-4690,0.10375,103750,0.168125,168125,5.0071875,5007187.5,0.4103125,410312.500000000000
-4.61E-09,-4610,0.060625,60625,0.120625,120625,5.046875,5046875,0.36125,361250.000000000000
-4.53E-09,-4530,0.0090625,9062.5,-0.030625,-30625,5.036875,5036875,0.316875,316875.000000000000
-4.45E-09,-4450,-0.023125,-23125,-0.2475,-247500,4.9925,4992500,0.2684375,268437.500000000000
-4.37E-09,-4370,-0.0325,-32500,-0.4671875,-467187.5,4.925,4925000,0.2475,247500.000000000000
-4.29E-09,-4290,-0.004375,-4375,-0.6353125,-635312.5,4.8625,4862500,0.2384375,238437.500000000000
-4.21E-09,-4210,0.04625,46250,-0.7071875,-707187.5,4.818125,4818125,0.261875,261875.000000000000
-4.13E-09,-4130,0.11875,118750,-0.67125,-671250,4.813125,4813125,0.2859375,285937.500000000000
-4.05E-09,-4050,0.185625,185625,-0.5375,-537500,4.84125,4841250,0.32125,321250.000000000000
-3.97E-09,-3970,0.2384375,238437.5,-0.348125,-348125,4.9025,4902500,0.3371875,337187.500000000000
-3.89E-09,-3890,0.251875,251875,-0.14875,-148750,4.9715625,4971562.5,0.3503125,350312.500000000000
-3.81E-09,-3810,0.2328125,232812.5,0.0071875,7187.5,5.0384375,5038437.5,0.33375,333750.000000000000
-3.73E-09,-3730,0.1753125,175312.5,0.0925,92500,5.079375,5079375,0.3121875,312187.500000000000
-3.65E-09,-3650,0.100625,100625,0.090625,90625,5.093125,5093125,0.270625,270625.000000000000
-3.57E-09,-3570,0.0140625,14062.5,0.0225,22500,5.07,5070000,0.245,245000.000000000000
-3.49E-09,-3490,-0.0540625,-54062.5,-0.08875,-88750,5.0271875,5027187.5,0.216875,216875.000000000000
-3.41E-09,-3410,-0.1,-100000,-0.1971875,-197187.5,4.97,4970000,0.2140625,214062.500000000000
-3.33E-09,-3330,-0.106875,-106875,-0.2734375,-273437.5,4.9196875,4919687.5,0.21625,216250.000000000000
-3.25E-09,-3250,-0.0884375,-88437.5,-0.2878125,-287812.5,4.878125,4878125,0.246875,246875.000000000000
-3.17E-09,-3170,-0.039375,-39375,-0.2434375,-243437.5,4.85875,4858750,0.27375,273750.000000000000
-3.09E-09,-3090,0.01625,16250,-0.1490625,-149062.5,4.8521875,4852187.5,0.3115625,311562.500000000000
-3.01E-09,-3010,0.0746875,74687.5,-0.0371875,-37187.5,4.8596875,4859687.5,0.330625,330625.000000000000
-2.93E-09,-2930,0.1103125,110312.5,0.066875,66875,4.863125,4863125,0.3515625,351562.500000000000
-2.85E-09,-2850,0.13,130000,0.1290625,129062.5,4.863125,4863125,0.3465625,346562.500000000000
-2.77E-09,-2770,0.121875,121875,0.1403125,140312.5,4.8475,4847500,0.3378125,337812.500000000000
